state,teeth_removed,education_hits,visit_doc,abbr
Alabama,22.2,19,11.7,AL
Alaska,13.4,30.4,16.3,AK
Arizona,12.3,27.3,15.1,AZ
Arkansas,22,17.7,11.1,AR
California,8.7,29.5,15.1,CA
Colorado,10.5,34,15.7,CO
Connecticut,10.5,30.4,14.5,CT
Delaware,16.1,25.7,12.8,DE
District of Columbia,11,39.2,15.1,DC
Florida,13.2,25.6,11.4,FL
Georgia,19.3,23.2,11.5,GA
Hawaii,6.5,27.8,14.3,HI
Idaho,14.9,23.1,15.5,ID
Illinois,16.5,24.2,13.8,IL
Indiana,18,18.9,13.2,IN
Iowa,15,20.1,12.2,IA
Kansas,16.4,26,13.2,KS
Kentucky,23.9,17.1,9.8,KY
Louisiana,20.5,20.3,11.2,LA
Maine,17.5,26.4,12.8,ME
Maryland,12.9,31.9,14.9,MD
Massachusetts,14.4,30,12.2,MA
Michigan,12.9,21.8,13.5,MI
Minnesota,10.5,26.2,14.7,MN
Mississippi,22.5,19.1,10.3,MS
Missouri,19.9,20.3,11.7,MO
Montana,16.7,26.1,14.6,MT
Nebraska,14.1,20.7,15.5,NE
Nevada,17,23.6,14.6,NV
New Hampshire,12.2,30.4,16,NH
New Jersey,13.1,27.5,12.7,NJ
New Mexico,15.7,28.8,15.5,NM
New York,14.9,25.7,12.3,NY
North Carolina,19.6,23.2,10.7,NC
North Dakota,14.3,20.3,13.5,ND
Ohio,18.1,19.7,12.5,OH
Oklahoma,22.5,21.3,13.6,OK
Oregon,13,28.3,15.8,OR
Pennsylvania,15.7,20.2,12.6,PA
Rhode Island,13.8,25.4,10.2,RI
South Carolina,18.1,23.9,12.7,SC
South Dakota,16.1,20.5,10.5,SD
Tennessee,22.4,20,11.1,TN
Texas,12.3,24.3,12.5,TX
Utah,11.2,30.4,16.6,UT
Vermont,16.9,31.8,16.8,VT
Virginia,15.1,28.9,11.8,VA
Washington,11.1,30.4,15.1,WA
West Virginia,33.7,13.7,9.2,WV
Wisconsin,13.5,22,13.7,WI
Wyoming,17.2,26,16.6,WY
Puerto Rico,16.7,14.5,12.4,PR